creative_id,headline,body_copy,hook_type,tone,hook_reason,tone_reason
T3-006,,trying to find wash products that work for BOTH of us ➰✨🛒 and you can shop @cerave now at @walmart #CeraVePartner #curlyhair #curlyhairproducts #curlyhairroutine #CeraVe,social_proof,playful,trying to find wash products that work for BOTH of us,"emoji-forward, conversational, relatable peer voice"
T3-007,,"#CeraVePartner If your skin squeaks, your barrier’s weak. Healthy cleansing isn’t about stripping your skin. It’s about removing dirt, oil, and impurities while supporting your skin barrier. That’s why I reach for @cerave cleansers with 3 essential ceramides, whether your skin is oily, dry, or",problem_solution,warm_reassuring,"If your skin squeaks, your barrier's weak.","Supportive, educational tone; validates concern without judgment."
T3-008,,"#CeraVePartner The only squeak I want in my morning routine is my clean mirror. 🤍 The @cerave Foaming Facial Cleanser leaves my skin feeling clean, fresh, and balanced…never squeaky or stripped. It’s been the perfect way to start my mornings. ✨
#MorningRoutine #Skincare #SkincareRoutine",benefit_promise,playful,"Opens with desired state: clean mirror, fresh balanced skin","Light, humorous wordplay ('squeak'); emoji-forward; conversational register"
T3-014,,"Let’s go restock on my simple summer skincare routine at Target!☀ @cerave #CeraVePartner
•CeraVe Foaming Facial Cleanser
•CeraVe AM Facial Moisturizing Lotion SPF 50",unclear,playful,No clear rhetorical hook; opens with casual personal statement,"Conversational, emoji-forward, casual influencer register throughout"
T3-015,,"#CeraVePartner If your skin squeaks, your barrier’s weak. Healthy cleansing isn’t about stripping your skin. It’s about removing dirt, oil, and impurities while supporting your skin barrier. That’s why I reach for @cerave cleansers with 3 essential ceramides, whether your skin is oily, dry, or",problem_solution,warm_reassuring,"If your skin squeaks, your barrier's weak.","Supportive, educational tone; validates concern without judgment."
T3-016,,"#CeraVePartner If your skin squeaks, your barrier’s weak. Healthy cleansing isn’t about stripping your skin. It’s about removing dirt, oil, and impurities while supporting your skin barrier. That’s why I reach for @cerave cleansers with 3 essential ceramides, whether your skin is oily, dry, or",problem_solution,warm_reassuring,"If your skin squeaks, your barrier's weak.","Supportive, educational tone; validates concern without judgment."
T3-023,,Skin Activator Hydrating & Firming Line. Firmer looking skin in 4 weeks.,benefit_promise,minimal_matter_of_fact,Firmer looking skin in 4 weeks,"States product name, benefit, and timeline plainly"
T3-024,,Skin Activator Hydrating & Firming Line. Firmer looking skin in 4 weeks.,benefit_promise,minimal_matter_of_fact,Firmer looking skin in 4 weeks,"States product name, benefit, and timeline without embellishment"
T3-025,,"People still tell me I look like I’m in my 20s 🫣 — and no, it’s not MAGIC.
It’s consistency!
Skincare for me isn’t a trend, it’s a lifestyle. Morning and night, every single day. That’s it. No shortcuts.
That’s why I’ve been using @cetaphil Skin Activator Hydrating & Firming Lotion. It keeps my skin hydrated, firm, and comfortable — and most importantly, it works with my skin, not against it.
Everyone wants fast results, but the real glow comes from showing up for your skin daily.#CetaphilSkinActivator #CetaphilPartner",social_proof,aspirational,People still tell me I look like I'm in my 20s,"Idealized self, glow, transformation, consistency as lifestyle"
T3-026,,Skin Activator Hydrating & Firming Line. Firmer looking skin in 4 weeks.,benefit_promise,minimal_matter_of_fact,Firmer looking skin in 4 weeks,"States product name, benefit, and timeline plainly"
T3-027,,Skin Activator Hydrating & Firming Line. Firmer looking skin in 4 weeks.,benefit_promise,minimal_matter_of_fact,Firmer looking skin in 4 weeks,"States product name, benefit, and timeline plainly"
T3-028,,Skin Activator Hydrating & Firming Line. Firmer looking skin in 4 weeks.,benefit_promise,minimal_matter_of_fact,Firmer looking skin in 4 weeks,"States product name, benefit, and timeline without embellishment"
T3-029,,"People still tell me I look like I’m in my 20s 🫣 — and no, it’s not MAGIC.
It’s consistency!
Skincare for me isn’t a trend, it’s a lifestyle. Morning and night, every single day. That’s it. No shortcuts.
That’s why I’ve been using @cetaphil Skin Activator Hydrating & Firming Lotion. It keeps my skin hydrated, firm, and comfortable — and most importantly, it works with my skin, not against it.
Everyone wants fast results, but the real glow comes from showing up for your skin daily.#CetaphilSkinActivator #CetaphilPartner",social_proof,aspirational,People still tell me I look like I'm in my 20s,"Idealized self, glow, transformation, consistency as lifestyle"
T3-030,,"People still tell me I look like I’m in my 20s 🫣 — and no, it’s not MAGIC.
It’s consistency!
Skincare for me isn’t a trend, it’s a lifestyle. Morning and night, every single day. That’s it. No shortcuts.
That’s why I’ve been using @cetaphil Skin Activator Hydrating & Firming Lotion. It keeps my skin hydrated, firm, and comfortable — and most importantly, it works with my skin, not against it.
Everyone wants fast results, but the real glow comes from showing up for your skin daily.#CetaphilSkinActivator #CetaphilPartner",social_proof,aspirational,People still tell me I look like I'm in my 20s,"Idealized self, glow, transformation, consistency as lifestyle"
T3-031,,"People still tell me I look like I’m in my 20s 🫣 — and no, it’s not MAGIC.
It’s consistency!
Skincare for me isn’t a trend, it’s a lifestyle. Morning and night, every single day. That’s it. No shortcuts.
That’s why I’ve been using @cetaphil Skin Activator Hydrating & Firming Lotion. It keeps my skin hydrated, firm, and comfortable — and most importantly, it works with my skin, not against it.
Everyone wants fast results, but the real glow comes from showing up for your skin daily.#CetaphilSkinActivator #CetaphilPartner",social_proof,aspirational,People still tell me I look like I'm in my 20s,"Idealized self, glow, transformation, consistency as lifestyle"
T3-032,,Skin Activator Hydrating & Firming Line. Firmer looking skin in 4 weeks.,benefit_promise,minimal_matter_of_fact,Firmer looking skin in 4 weeks,"States product name, benefit, and timeline without embellishment"
T3-033,,Skin Activator Hydrating & Firming Line. Firmer looking skin in 4 weeks.,benefit_promise,minimal_matter_of_fact,Firmer looking skin in 4 weeks,"States product name, benefit, and timeline plainly"
T3-034,,Skin Activator Hydrating & Firming Line. Firmer looking skin in 4 weeks.,benefit_promise,minimal_matter_of_fact,Firmer looking skin in 4 weeks,"States product name, benefit, and timeline without embellishment"
T3-035,,Skin Activator Hydrating & Firming Line. Firmer looking skin in 4 weeks.,benefit_promise,minimal_matter_of_fact,Firmer looking skin in 4 weeks,"States product name, benefit, and timeline without embellishment"
T3-038,,Discover Cetaphil Gentle Skin Cleanser. For Everyone's Sensitive Skin.,benefit_promise,warm_reassuring,Discover...Gentle Skin Cleanser positions desirable end state,"Gentle, inclusive, supportive language; safe for sensitive skin"
T3-039,,Provides the ultimate deep clean without stripping skin. Try it out now!,benefit_promise,minimal_matter_of_fact,Opens with desirable end state: ultimate deep clean without stripping,"States what product does plainly, minimal persuasion styling"
T3-040,,"We love Gentle Skin Cleanser for its micellar technology! 👩🏽‍🔬 You can use it with or without water as our Medical Affairs Advisor, Christine Emesiani, PharmD, demonstrates. 
Christine try every Gentle Skin Cleanser and every other Cetaphil cleanser on YouTube! Find at the link in our bio! 🔗
#SensitiveSkincare #Cetaphil",social_proof,playful,We love Gentle Skin Cleanser + expert endorsement by PharmD,"Emoji-forward, conversational, enthusiastic; light register throughout"
T3-042,Glossier You Duo,Smells different on everyone and that's totally the point! Spritz on the iconic scent in full + travel size.,benefit_promise,playful,Smells different on everyone and that's totally the point,"Conversational, irreverent tone; 'totally the point' signals lightness"
T3-043,Glossier You Duo,Smells different on everyone and that's totally the point! Spritz on the iconic scent in full + travel size.,benefit_promise,playful,Smells different on everyone and that's totally the point,"Conversational, irreverent tone; 'totally the point' signals lightness"
T3-047,Glossier You Duo,Smells different on everyone and that's totally the point! Spritz on the iconic scent in full + travel size.,benefit_promise,playful,Smells different on everyone and that's totally the point,"Conversational, irreverent tone; 'totally the point' signals lightness"
T3-048,Glossier You Duo,Smells different on everyone and that's totally the point! Spritz on the iconic scent in full + travel size.,benefit_promise,playful,Smells different on everyone and that's totally the point,"Conversational, irreverent tone; 'totally the point' signals lightness"
T3-050,Pro Tip,Shop Everyday Beauty Designed With Every Look In Mind.,unclear,minimal_matter_of_fact,Opening is vague; no clear rhetorical device identified.,Plain statement of product purpose; no persuasion styling.
T3-051,Skywash | Echo,Shop Everyday Beauty Designed With Every Look In Mind.,benefit_promise,minimal_matter_of_fact,Everyday Beauty Designed With Every Look In Mind,"Plain statement of product purpose, no emotional styling"
T3-052,Glossier You Duo,Smells different on everyone and that's totally the point! Spritz on the iconic scent in full + travel size.,benefit_promise,playful,Smells different on everyone and that's totally the point,"Conversational, irreverent tone; 'totally the point' signals lightness"
T3-053,Glossier You Duo,Smells different on everyone and that's totally the point! Spritz on the iconic scent in full + travel size.,benefit_promise,playful,Smells different on everyone and that's totally the point,"Conversational, irreverent tone; 'totally the point' signals lightness"
